Pvm (dd.mm.YYYY);Mustikkamaa;Kauppatori;Hakaniemi
21.08.2016;3332;614;0
22.08.2016;245;169;0
23.08.2016;695;216;0
24.08.2016;969;246;0
25.08.2016;608;254;0
26.08.2016;564;166;0
27.08.2016;3096;702;0
28.08.2016;2117;541;0
29.08.2016;122;35;0
30.08.2016;326;102;0
31.08.2016;757;193;0
01.09.2016;491;167;0
02.09.2016;7925;775;0
03.09.2016;2350;343;0
04.09.2016;1299;170;0
05.09.2016;316;73;0
06.09.2016;456;99;0
07.09.2016;334;136;0
08.09.2016;447;96;0
09.09.2016;9791;1007;0
10.09.2016;2266;578;0
11.09.2016;2151;257;0
12.09.2016;402;73;0
13.09.2016;375;92;0
14.09.2016;438;62;0
15.09.2016;446;57;0
16.09.2016;558;103;0
17.09.2016;1525;199;0
18.09.2016;1562;208;0
19.09.2016;215;44;0
20.09.2016;334;88;0
21.09.2016;1523;270;0
22.09.2016;621;48;0
23.09.2016;398;48;0
24.09.2016;1320;173;0
25.09.2016;1234;136;0
26.09.2016;263;46;0
27.09.2016;325;66;0
28.09.2016;176;35;0
29.09.2016;237;123;0
30.09.2016;276;53;0
01.10.2016;1180;0;0
02.10.2016;1106;0;0
03.10.2016;196;0;0
04.10.2016;6176;0;0
05.10.2016;246;0;0
06.10.2016;335;0;0
07.10.2016;292;0;0
08.10.2016;811;0;0
09.10.2016;741;0;0
10.10.2016;236;0;0
11.10.2016;215;0;0
12.10.2016;174;0;0
13.10.2016;222;0;0
14.10.2016;687;0;0
15.10.2016;688;0;0
16.10.2016;848;0;0
17.10.2016;658;0;0
18.10.2016;815;0;0
19.10.2016;894;0;0
20.10.2016;1299;0;0
21.10.2016;987;0;0
22.10.2016;841;0;0
23.10.2016;673;0;0
24.10.2016;171;0;0
25.10.2016;223;0;0
26.10.2016;204;0;0
27.10.2016;148;0;0
28.10.2016;89;0;0
29.10.2016;797;0;0
30.10.2016;675;0;0
31.10.2016;154;0;0
01.11.2016;124;0;0
02.11.2016;81;0;0
03.11.2016;211;0;0
04.11.2016;234;0;0
05.11.2016;526;0;0
06.11.2016;233;0;0
07.11.2016;96;0;0
08.11.2016;76;0;0
09.11.2016;42;0;0
10.11.2016;103;0;0
11.11.2016;152;0;0
12.11.2016;255;0;0
13.11.2016;232;0;0
14.11.2016;69;0;0
15.11.2016;91;0;0
16.11.2016;124;0;0
17.11.2016;36;0;0
18.11.2016;134;0;0
19.11.2016;383;0;0
20.11.2016;207;0;0
21.11.2016;37;0;0
22.11.2016;158;0;0
23.11.2016;61;0;0
24.11.2016;74;0;0
25.11.2016;127;0;0
26.11.2016;312;0;0
27.11.2016;307;0;0
28.11.2016;80;0;0
29.11.2016;40;0;0
30.11.2016;144;0;0
01.12.2016;118;0;0
02.12.2016;95;0;0
03.12.2016;189;0;0
04.12.2016;313;0;0
05.12.2016;170;0;0
06.12.2016;311;0;0
07.12.2016;64;0;0
08.12.2016;84;0;0
09.12.2016;83;0;0
10.12.2016;215;0;0
11.12.2016;175;0;0
12.12.2016;43;0;0
13.12.2016;53;0;0
14.12.2016;106;0;0
15.12.2016;70;0;0
16.12.2016;106;0;0
17.12.2016;195;0;0
18.12.2016;252;0;0
19.12.2016;89;0;0
20.12.2016;170;0;0
21.12.2016;70;0;0
22.12.2016;101;0;0
23.12.2016;124;0;0
24.12.2016;41;0;0
25.12.2016;536;0;0
26.12.2016;544;0;0
27.12.2016;509;0;0
28.12.2016;749;0;0
29.12.2016;541;0;0
30.12.2016;546;0;0
31.12.2016;483;0;0
